SIM Count,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Colour Name,Condition,Model Number,Model Name,Title,Price,Brand,Rating,Product Image,Product Link,Expandable Memory Type,Secondary Camera Resolution,Charging Type,Processor Speed,Secondary Camera,Product Weight,Display Type,Display Resolution Type,Operating System,Operating System Number,Processor Number,Fast Charging,What's In The Box,Network Frequency Band,Number of Cores,Glass Technology,Primary Camera Feature,Flash,Video Recording Resolution Type,Water/Dust Properties,Finish,Model Year,Network Type,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Primary Camera (MP),Voice Calling Capability,Processor Name,Sensor,Display Resolution,Refresh Rates,Operating System Version,Audio Jack,Camera Type,Battery Type,Pixels Per Inch,Network,Wireless
Dual SIM,8 GB,5000 mAh,256 GB,Middle East Version,6.67 in,Nano SIM,Midnight Black,New,"23124RA7EO, 23129RAA4G",Redmi Note 13,Redmi Note 13 Dual SIM Midnight Black 8GB RAM 256GB 4G,EGP 7965.00 Inclusive of VAT,Xiaomi,4.4,"['https://f.nooncdn.com/p/pnsku/N70049951V/45/_/1709197363/4f9a734e-a41a-4ef2-aacb-a8b516000777.jpg', 'https://f.nooncdn.com/p/pnsku/N70050721V/45/_/1709291027/d105c113-412b-4736-9f6e-22a658e1ba53.jpg', 'https://f.nooncdn.com/p/pnsku/N70049993V/45/_/1709200959/38c0f055-14d3-4f71-87ba-8ff0485ae0fb.jpg']",https://www.noon.com/egypt-en/redmi-note-13-dual-sim-midnight-black-8gb-ram-256gb-4g/N70050721V/p/?o=bd82e242d06a2bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,4 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,Crystal Green,New,X6525,Smart 8,Smart 8 Dual SIM Crystal Green 4GB RAM 64GB 4G - Middle East Version,EGP 4075.00 Inclusive of VAT,Infinix,4.1,"['https://f.nooncdn.com/p/pnsku/N70031433V/45/_/1703133154/9b50065c-c49f-4599-94bd-7ee28bbf9757.jpg', 'https://f.nooncdn.com/p/pnsku/N70031432V/45/_/1703133148/86476ce3-af35-4397-86b7-92da80b58364.jpg', 'https://f.nooncdn.com/p/pnsku/N70040671V/45/_/1706068870/b9d05b24-7fac-4f51-a8e0-6bc25a705d71.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-crystal-green-4gb-ram-64gb-4g-middle-east-version/N70031433V/p/?o=d47efc4aa618cd9e,,8 MP,,,8 - 11.9 MP,,,,,,,,,,,,,,,,,,4G,,,,,13MP,Yes,,,,,,,,,,,
Dual SIM,6 GB,5000 mAh,128 GB,Middle East Version,6.67 in,Nano SIM,Midnight Black,New,Note 13 6+128,Redmi Note 13,Redmi Note 13 Dual SIM Midnight Black 6GB RAM 128GB 4G,EGP 7400.00 Inclusive of VAT,Xiaomi,4.5,"['https://f.nooncdn.com/p/pnsku/N70050558V/45/_/1709220760/5fa80fb8-5932-4107-a363-7ae2651969df.jpg', 'https://f.nooncdn.com/p/pnsku/N70050462V/45/_/1709215825/71bf1bb9-0dd5-409f-86dd-9699bf16d3db.jpg', 'https://f.nooncdn.com/p/pnsku/N70050369V/45/_/1709211955/9860d46f-48ef-4a0d-bdb5-b5e2705718f8.jpg']",https://www.noon.com/egypt-en/redmi-note-13-dual-sim-midnight-black-6gb-ram-128gb-4g/N70050462V/p/?o=ea0569d53dcd2a5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,6 GB,5000 mAh,128 GB,Middle East Version,6.74 in,Nano SIM,Midnight Black,New,"23100RN82L, 23106RN0DA",Redmi 13C,Redmi 13C Dual SIM Midnight Black 6GB RAM 128GB 4G,EGP 5960.00 Inclusive of VAT,Xiaomi,4.4,"['https://f.nooncdn.com/p/pnsku/N70040427V/45/_/1706000447/68ad8125-57f9-47d9-a859-96fbc1a13891.jpg', 'https://f.nooncdn.com/p/pnsku/N70031438V/45/_/1703133164/e097262d-7188-433f-843a-bcaec285cc4b.jpg', 'https://f.nooncdn.com/p/pnsku/N70031501V/45/_/1709822664/ac09b153-6a69-47f5-9b21-842cd119900b.jpg', 'https://f.nooncdn.com/p/pnsku/N70040315V/45/_/1705987883/d8289145-e25c-4a3a-9c75-d3321a415edd.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-midnight-black-6gb-ram-128gb-4g/N70031501V/p/?o=e06c9570521c948d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.56 in,Nano SIM,Starlit Black,New,X6528B,Hot 40i,Hot 40i Dual SIM Starlit Black 4+4GB RAM 128GB 4G - Middle East Version,EGP 4799.00 Inclusive of VAT,Infinix,4.1,"['https://f.nooncdn.com/p/pnsku/N70024023V/45/_/1700127735/02e315d7-64f0-424a-b285-1e521785cf82.jpg', 'https://f.nooncdn.com/p/pnsku/N70024019V/45/_/1700127360/4291bef8-e648-4d7d-a516-2207129501c3.jpg', 'https://f.nooncdn.com/p/pnsku/N70024018V/45/_/1700127342/342f6ff5-6a3f-473a-906a-c42e6893b39d.jpg', 'https://f.nooncdn.com/p/pnsku/N70024021V/45/_/1700127391/0afb8392-b274-46e8-893a-2f111996e2ae.jpg']",https://www.noon.com/egypt-en/hot-40i-dual-sim-starlit-black-4-4gb-ram-128gb-4g-middle-east-version/N70024021V/p/?o=d78a9810a42181aa,MicroSD,32 MP,Type-C,1.6 GHz,32 MP & Above,190 g,,,Android,13,Unisoc T606,,"Mobile, Plug , Headset, Clear Cover, Screen protector",LTE,Octa Core,,,,,,,2023,4G,163.59 mm,75.59 mm,8.3 mm,1 TB,50MP,Yes,Unisoc,"Fingerprint Scanner, Proximity Sensors, gyroscope",720x1612,,,,,,,,
Dual SIM,8 GB,5000 mAh,256 GB,Middle East Version,6.6 in,Nano SIM,Awesome Navy,New,SM-A556EZKWMEA,SM-A556EZKWMEA,Galaxy A55 Dual SIM Awesome Navy 8GB RAM 256GB 5G - Middle East Version,EGP 17150.00 Inclusive of VAT,Samsung,4.4,"['https://f.nooncdn.com/p/pnsku/N70049910V/45/_/1715177755/49898279-41ca-4db4-a4b3-17cce2afbd85.jpg', 'https://f.nooncdn.com/p/pnsku/N70049934V/45/_/1709736882/09ef2f0e-5912-45b4-91c5-c3e32cb5da2d.jpg', 'https://f.nooncdn.com/p/pnsku/N70049902V/45/_/1709736864/dcb3ca1f-5361-49b3-89ea-312d58cfc1e0.jpg', 'https://f.nooncdn.com/p/pnsku/N70049935V/45/_/1709736891/46deabab-a3bc-4065-b80e-6b019c710758.jpg']",https://www.noon.com/egypt-en/galaxy-a55-dual-sim-awesome-navy-8gb-ram-256gb-5g-middle-east-version/N70049935V/p/?o=bd29a82edbf7e45d,MicroSD,32 MP,Type-C,,32 MP & Above,,,,Android,,,,,,,,,,,,,2023,5G,,,,,50+12+5,,,,2340x1080,120Hz,,,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.56 in,Nano SIM,Palm Blue,New,X6528B,Hot 40i,Hot 40i Dual SIM Palm Blue 4+4GB RAM 128GB 4G - Middle East Version,EGP 4799.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024023V/45/_/1700127735/02e315d7-64f0-424a-b285-1e521785cf82.jpg', 'https://f.nooncdn.com/p/pnsku/N70024019V/45/_/1700127360/4291bef8-e648-4d7d-a516-2207129501c3.jpg', 'https://f.nooncdn.com/p/pnsku/N70024018V/45/_/1700127342/342f6ff5-6a3f-473a-906a-c42e6893b39d.jpg', 'https://f.nooncdn.com/p/pnsku/N70024021V/45/_/1700127391/0afb8392-b274-46e8-893a-2f111996e2ae.jpg']",https://www.noon.com/egypt-en/hot-40i-dual-sim-palm-blue-4-4gb-ram-128gb-4g-middle-east-version/N70024019V/p/?o=df26dd99451537da,MicroSD,32 MP,Type-C,1.6 GHz,32 MP & Above,190 g,,,Android,13,Unisoc T606,,"Mobile, Plug , Headset, Clear Cover, Screen protector",LTE,Octa Core,,,,,,,2023,4G,163.59 mm,75.59 mm,8.3 mm,1 TB,50MP,Yes,Unisoc,"Fingerprint Scanner, Proximity Sensors, gyroscope",720x1612,,,,,,,,
Dual SIM,3 GB,5000 mAh,64 GB,International Version,6.52 in,Micro SIM,black,,Xiaomi Redmi A2 Plus / 23028RNCAG,Xiaomi Redmi A2 Plus,Xiaomi Redmi A2 Plus (3GB/64GB) Black,EGP 3799.00 Inclusive of VAT,Xiaomi,4.5,[],https://www.noon.com/egypt-en/xiaomi-redmi-a2-plus-3gb-64gb-black/N53423193A/p/?o=c1fe1ddf3074a14b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,8 GB,5000 mAh,256 GB,International Version,6.74 in,Nano SIM,Midnight Black,New,"23106RN0DA , 22120RN86C , 23108RN04Y",Redmi 13C,Redmi 13C Dual SIM Midnight Black 8GB RAM 256GB 4G - Global Version,EGP 6438.90 Inclusive of VAT,Xiaomi,3.8,"['https://f.nooncdn.com/p/pnsku/N70017106V/45/_/1698139765/c0b08129-d722-4993-990b-ddc1e884c674.jpg', 'https://f.nooncdn.com/p/pnsku/N70017104V/45/_/1698139799/3bf00498-b0f0-4da3-ac87-eb9085843f13.jpg', 'https://f.nooncdn.com/p/pnsku/N70017105V/45/_/1698139779/511e2a92-6698-44b6-bc95-fbd1077638e0.jpg', 'https://f.nooncdn.com/p/pnsku/N70017107V/45/_/1698139767/f60e0475-791e-4208-a4cb-7b0f36d687ff.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-midnight-black-8gb-ram-256gb-4g-global-version/N70017105V/p/?o=db2e72ce5bb4e8df,MicroSD,8 MP,Type-C,2 GHz,8 - 11.9 MP,192 g,LCD,,Android,13,MediaTek Helio G85,Yes,,LTE,Octa Core,Gorilla Glass,Triple,LED,,,Plastic,2023,4G,168 mm,8.09 mm,78 mm,16 GB,50+8+QVGA,Yes,MediaTek Helio,,,90Hz,,,,,,,
Dual SIM,12 GB,5500 mAh,256 GB,Middle East Version,6.78 in,Nano SIM,Purple,New,V2348,V40,V40 5G Dual SIM Purple 12GB RAM 256GB - Middle East Version,EGP 22990.00 Inclusive of VAT,vivo,4.4,"['https://f.nooncdn.com/p/pnsku/N70102234V/45/_/1724399813/5f42f444-fb1f-428e-9825-ffc940c0c713.jpg', 'https://f.nooncdn.com/p/pnsku/N70102235V/45/_/1724399812/6107019b-17c4-47cc-897e-767f3a77db84.jpg', 'https://f.nooncdn.com/p/pnsku/N70102237V/45/_/1724399810/adcc0448-6445-44fc-8f22-ec624a91e5c7.jpg']",https://www.noon.com/egypt-en/v40-5g-dual-sim-purple-12gb-ram-256gb-middle-east-version/N70102235V/p/?o=b2f2584be08db5ea,No Expandable Memory,50 MP,Type-C,2.4 GHz,32 MP & Above,190 g,AMOLED,Ultra HD,Android,Funtouch OS 14.0,Snapdragon 7 Gen 3,Yes,,GSM/LTE,Octa Core,Sapphire,Dual,LED,,Water Resistant and Dust Resistant,,2024,5G,164.16 mm,74.93 mm,7.58 mm,,50+50 mp,Yes,Qualcomm Snapdragon,Fingerprint Scanner,2400x1176,120Hz,Android 14,Type-C,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,Timber Black,New,X6525,Smart 8,Smart 8 Dual SIM Timber Black 4+4GB RAM 128GB 4G - Middle East Version,EGP 4350.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-timber-black-4-4gb-ram-128gb-4g-middle-east-version/N70024016V/p/?o=c33ef64ec85c7c2d,MicroSD,8 MP,Type-C,1.6 GHz,8 - 11.9 MP,184 g,,,Android,13,Unisoc T606,,"Mobile, Plug, Headset, Clear Cover, Screen protector",LTE,Octa Core,,,,,,,2023,4G,,75.6 mm,8.5 mm,2 TB,13MP,Yes,Unisoc,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,Crystal Green,New,X6525,Smart 8,Smart 8 Dual SIM Crystal Green 4+4GB RAM 128GB 4G - Middle East Version,EGP 4299.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-crystal-green-4-4gb-ram-128gb-4g-middle-east-version/N70024020V/p/?o=d97a6b8a4f66f96d,MicroSD,8 MP,Type-C,1.6 GHz,8 - 11.9 MP,184 g,,,Android,13,Unisoc T606,,"Mobile, Plug, Headset, Clear Cover, Screen protector",LTE,Octa Core,,,,,,,2023,4G,,75.6 mm,8.5 mm,2 TB,13MP,Yes,Unisoc,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,,,,
Dual SIM,4 MB,800 mAh,4 MB,Egypt Version,1.8 in,SIM (Standard),Dark Grey,,Nokia 106,Nokia 106,106 Dual SIM Dark Grey 4MB 2G,EGP 554.95 Inclusive of VAT,NOKIA,3.6,[],https://www.noon.com/egypt-en/106-dual-sim-dark-grey-4mb-2g/N20985583A/p/?o=abb9672b2d8607af,No Expandable Memory,,Micro USB,,,70.2 g,TFT,,,,N/A,No,,GSM,,,,No Flash,,,,2018,,111.15 mm,14.4 mm,49.5 mm,,,,,,128x160,,,,No Camera,Lithium Ion,114,2G,
,4 MB,800 mAh,4 MB,Middle East Version,1.77 in,,Black,,Nokia105,Nokia105,105 Dual Sim Black 4MB,EGP 425.35 Inclusive of VAT,NOKIA,3.4,[],https://www.noon.com/egypt-en/105-dual-sim-black-4mb/N53386520A/p/?o=c720056f3af3b85c,,,Micro USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Camera,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.7 in,Nano SIM,Silver,New,SM-A057FZSGMEA / SM-A057FZSDMEA,Galaxy A05s,Galaxy A05s Dual SIM Silver 4GB RAM 128GB 4G LTE - Middle East Version,EGP 5799.00 Inclusive of VAT,Samsung,4.2,"['https://f.nooncdn.com/p/pnsku/N70027743V/45/_/1717679039/4d899cd0-b11f-468f-a2df-a9c02b4bc73a.jpg', 'https://f.nooncdn.com/p/pnsku/N70027724V/45/_/1701414087/6cf22d8c-ec8c-40aa-bcc8-42b2d126ee16.jpg', 'https://f.nooncdn.com/p/pnsku/N70027745V/45/_/1701414084/9c11bfc4-cbbf-454e-acba-a0434bf5ec6d.jpg']",https://www.noon.com/egypt-en/galaxy-a05s-dual-sim-silver-4gb-ram-128gb-4g-lte-middle-east-version/N70027745V/p/?o=a1b9c79e9cc5db5d,MicroSD,2 MP,Type-C,,Upto 4.9 MP,,,,Android,,,,Usb-c Type Cable SIM Tray Ejector Quick Start Guide,LTE,,,,,,,,,4G,,,,1 TB,50+2+2 mp,,,,1080x2400,90Hz,,,,,,,
Dual SIM,8 GB,5000 mAh,256 GB,Middle East Version,6.5 in,Nano SIM,Light Blue,New,SM-A155FLBIMEA,BSM-A155F/2D8N,Galaxy A15 Dual Sim Light Blue 8GB RAM 256GB 4G - Middle East Version,EGP 8470.00 Inclusive of VAT,Samsung,4.5,"['https://f.nooncdn.com/p/pnsku/N70029835V/45/_/1706611090/c8f22b46-f214-441b-bd7f-e0c3dd63a544.jpg', 'https://f.nooncdn.com/p/pnsku/N70029854V/45/_/1707827567/900a61f0-5f7d-4c7f-8c98-069b24ac06ca.jpg', 'https://f.nooncdn.com/p/pnsku/N70029836V/45/_/1703143846/aadd366c-aa03-43ae-9516-4ac7c96bf069.jpg']",https://www.noon.com/egypt-en/galaxy-a15-dual-sim-light-blue-8gb-ram-256gb-4g-middle-east-version/N70029854V/p/?o=ed5245b4b532cd9b,MicroSD,13 MP,Type-C,,12 - 15.9 MP,,,,Android,,,,"USB-C Type Cable, SIM Tray Ejector, Quick Start Guide",LTE,,,Triple,,,,,2023,4G,,,,1 TB,50+5+2,,,,,90Hz,,,,,,,
